Name|Type|Prerequisites|Benefit|Summary
Trackless|General|Trained in <a href="Skills.php?Name=Stealth">Stealth</a> and <a href="Skills.php?Name=Survival">Survival</a>|If you choose, you leave no trail in natural surroundings and cannot be tracked with the <a href="Skills.php?Name=Survival">Survival</a> skill.|You leave no trail in natural surroundings.
Trailblazer|General|Trained in <a href="Skills.php?Name=Survival">Survival</a>|You can move through any sort of natural surroundings at your normal speed, unimpeded by things like undergrowth, difficult terrain, snow, mud, and similar difficulties. You're still affected by wind, rain, and other weather conditions, however.|You can move through natural surroundings freely.
Two-Weapon Defense|General|<a href="Feats.php?Name=Two-Weapon%20Fighting">Two-Weapon Fighting</a>|Your <a href="Feats.php?Name=Two-Weapon%20Fighting">two-weapon fighting style</a> improves your <a href="Combat.php#Parry">Parry</a>. When wielding two weapons (but not while unarmed) your <a href="Combat.php#Parry">Parry</a> increases by +1. When using total defense and <a href="Combat.php#Parry">Parry</a>, this bonus increases to +2.|Your <a href="Feats.php?Name=Two-Weapon%20Fighting">two-weapon fighting style</a> improves your <a href="Combat.php#Parry">Parry</a>.
Two-Weapon Fighting|General||You're more effective <a href="CombatModifiers.php?Name=Two-WeaponFighting">fighting with two weapons</a>. You reduce the penalty for doing so by 4 for your primary hand and 6 for your off hand.|You can skillfully fight with a weapon in each hand.
Uncanny Dodge|General||You are especially attuned to potential danger, whether through training, experience, or some innate supernatural talent. You retain your <a href="Combat.php#Dodge">Dodge</a> when surprised, flat-footed, or surprise attacked, so long as you are able to react (are not helpless, bound, unconscious, and the like).|You retain your <a href="Combat.php#Dodge">Dodge</a> when flat-footed.
Wealthy|General||You are endowed with significant material resources. Each time you select this feat, increase your <a href="EquipmentWealth.php">Wealth</a> bonus by +4.|+4 <a href="EquipmentWealth.php">Wealth</a> bonus.
Weapon Bind|Warrior||If you are using your <a href="Combat.php#Parry">Parry</a> and an opponent misses you with an armed melee attack, you can make a <a href="CombatActions.php?Name=Disarm">disarm attempt</a> immediately as a free action. The <a href="CombatActions.php?Name=Disarm">disarm attempt</a> is carried out normally, including the possibility of disarming yourself (unless you have the <a href="Feats.php?Name=Improved%20Disarm">Improved Disarm</a> feat).|Free <a href="CombatActions.php?Name=Disarm">disarm attempt</a> after successful <a href="Combat.php#Parry">parry</a>.
Weapon Break|Warrior||If you are using  your <a href="Combat.php#Parry">Parry</a> and an opponent misses you with an armed melee attack, you can make a <a href="CombatActions.php?Name=Sunder">sunder attempt</a> against your opponent's weapon immediately as a free action. This requires a normal <a href="Combat.php#ManeuverBonus">maneuver check</a> and inflicts normal damage to the weapon if it hits.|Free <a href="CombatActions.php?Name=Sunder">sunder</a> against on opponent's weapon after a successful <a href="Combat.php#Parry">parry</a>. 
Well-Informed|Expert||You are exceptionally well informed. When encountering an individual, group, or organization for the first time, you can make an immediate <a href="Skills.php?Name=Gather%20Information">Gather Information</a> check as a reaction to see if your character has heard something about the subject. This takes the place of a normal <a href="Skills.php?Name=Knowledge">Knowledge</a> check (if any). Use the guidelines for <a href="Skills.php?Name=Gather%20Information">Gather Information</a> checks to determine the level of information you gain, and the guidelines for <a href="Skills.php?Name=Knowledge">Knowledge</a> checks for the sorts of questions you can answer. You receive only one check per subject, although the Narrator may allow another upon encountering the subject again once significant time has passed.|Make <a href="Skills.php?Name=Gather%20Information">Gather Information</a> check immediately upon meeting someone.
Widen Power|Adept||You can broaden the effect of  one of your <a href="Powers.php">powers</a>. When using <a href="Powers.php">powers</a> that normally affect a single target, you can affect an area with a radius of up to twice your power ranks in feet. The power affects all targets in the area normally. You must still meet any requirements for range, including mental contact, that the power requires. Make a single check and compare the results to each target in the area. Targets save individually against the power's effects. The widened power's Resilience Difficulty increases by +6.|Affect an area with your <a href="Powers.php">powers</a>.
Wind Finesse|Adept|<a href="Powers.php?Name=Elemental%20Blast">Elemental Blast</a>, <a href="Powers.php?Name=Wind%20Shaping">Wind Shaping</a>|You have developed your control over the wind into a true art, allowing you to create multiple wind speeds and directions in the same area, as well as localized wind effects with specific targets. You may perform new techniques of finesse when using your <a href="Powers.php?Name=Wind%20Shaping">Wind Shaping</a> power. The listed Difficulties assume light winds are prevalent, though in stronger winds the Difficulty decreases. Some examples include, but aren't limited to: <br /><em>Catch the Falling:</em> You may use winds to create a cushion of wind, allowing someone or something that is falling to land safely. You must generate a Windstorm to do this for Small targets, Hurricane-Force Wind for Medium targets, and a Tornado for Large targets. You may also attempt to reverse the direction of their fall, hurling them up into the sky. This requires that you beat the Difficulty of your <a href="Powers.php?Name=Wind%20Shaping">Wind Shaping</a> check by 5. <a href="Skills.php?Name=Perform">Perform</a>ing this action out of turn increases the Difficulty by +5. Catching multiple objects/creatures increases the Difficulty by +2 per additional object/creature. <br /><em>Dust Devil (Difficulty 35): </em>You can create a miniature tornado which you can direct to attack your opponents. You can bring one dust devil into creation by creating Hurricane-Force Winds. For every 5 points by which you exceed the Difficulty to create Hurricane-Force Winds, you may create another dust devil. The target must succeed a Reflex or Fortitude save to avoid or resist an attacking dust devil. If the target fails their save, they are sucked within and whirled around for 1-4 rounds, taking +4 damage per round, before being violently expelled (falling damage may apply). While the subject is within the dust devil, you may move them up to 100 feet per round trapped. If you do not maintain the dust devils or fail a <a href="Skills.php?Name=Concentration">Concentration</a> check due to distraction, they move about randomly (and are liable to suck up friends or bystanders). <br /><em>Flying (Difficulty 25 for one person):</em> You may create winds beneath a person which allow them to fly. You must create Severe Winds to propel one person, a Windstorm to propel six people, and a Hurricane to propel a dozen people. You gain a +2 bonus on the power check if you use a suitably lightweight object with a large surface area, such as a kite or a carpet. This is a maintained use of <a href="Powers.php?Name=Wind%20Shaping">Wind Shaping</a>. <br /><em>Protective Whirlwind (Difficulty 30):</em> You can create a wall of rotating wind around an area or person that protects any within from ranged fire. You must create a Windstorm in order to establish the protective whirlwind. Ranged weapon attacks are impossible, and everyone within the whirlwind gains <a href="CombatModifiers.php?Name=Concealment">concealment</a> against melee attacks and partial <a href="CombatModifiers.php?Name=Concealment">concealment</a> against siege weapons. Adepts using <a href="Powers.php?Name=Elemental%20Blast">Elemental Blast</a> must beat you in an opposed <a href="Powers.php?Name=Wind%20Shaping">Wind Shaping</a> check. This is a maintained use of <a href="Powers.php?Name=Wind%20Shaping">Wind Shaping</a>. <br /><em>Volley of Arrows (Difficulty 30): </em>Though you cannot manipulate an object, you may cause projectiles, such as arrows or sling stones to hurtle through the air. By creating a Windstorm, you can cause up to a dozen arrows to fire. These arrows travel in a general direction, but cannot be given a specific target; each target in the area will be struck by at least one arrow -- possibly more, if it is a large target.<p>If there are more or fewer targets than arrows in the area of effect, targets are determined randomly. Make a normal ranged attack check, using your Intelligence in place of Dexterity, with a -4 penalty due to the difficulty in controlling such a fine object with mighty winds. The <a href="EquipmentWeapons.php?Name=Bow">arrows</a> deal their normal damage. For every 5 points by which you exceed the Difficulty to create a Windstorm, you may double the amount of arrows you can unleash. If you fail your <a href="Powers.php?Name=Wind%20Shaping">Wind Shaping</a> check by 5 or more, you lose control of the winds. The winds may be unleashed on the entire area, or a more specific Narrator-determined backlash might occur.|You can use <a href="Powers.php?Name=Wind%20Shaping">Wind Shaping</a> more skillfully.
Wind Stance|General|Dex +3 or higher, <a href="Combat.php#CombatBonus">combat bonus</a> +4 or higher|If you take at least one <a href="CombatActions.php?Name=Normal%20Move">normal move action</a> this round, you gain <a href="CombatModifiers.php?Name=Concealment">concealment</a>. You cannot use this concealment to make <a href="Skills.php?Name=Stealth">Stealth</a> checks, but abilities such as <a href="Feats.php?Name=Night%20Vision">Night Vision</a> do not overcome this concealment, either.|Your erratic movements grant you <a href="CombatModifiers.php?Name=Concealment">concealment</a>.|
