Name|Level|Type|SubType|Size|Speed|Abilities|Skills|Feats|Traits|Combat|SavingThrows|Description|Details|
Siren|7th|Monstrous Humanoid|Aquatic|Medium|30 ft., swim 50 ft.|Str +1, Dex +1, Con +1, Int +1, Wis +2, Cha +4|Bluff!+18!10 ranks, +4 Cha, +4 bonus;Disguise!+18*!10 ranks, +4 Cha, +4 bonus;Perform!(singing) +17!10 ranks, +4 Cha, +3 <a href="Feats.php?Name=Skill%20Focus">Skill Focus</a>;Swim!+9!0 ranks, +1 Str, +8 bonus|Ability Focus! (song of longing),;!<a href="Powers.php">Power</a> (<a href="Powers.php?Name=Psychic%20Blast">Psychic Blast</a>),;Skill Focus! (<a href="Skills.php?Name=Perform">Perform</a>)|<a href="CreaturesTraits.php?Name=Alternate%20Form">Alternate Form</a>, Paralyzing Beauty, Song of Longing|+8!(+7 base +1 Dex);+2!(+1 <a href="EquipmentWeapons.php?Name=Knife/Dagger">dagger</a>, +1 Str);18/18!(+7 base, +1 Dex/+7 base, +1 Str);+1|+1!+1 Con;+3!+2 base, +1 Con;+6!+5 base, +1 Dex;+7!+5 base, +2 Wis|Cousins to the <a href="Creatures.php?Name=Onijegi">onijegi</a> but far more cruel and mischevious, sirens resemble beautiful women from the waist up, and like their cousins, shimmering scaly fish from the waist down. But unlike the <a href="Creatures.php?Name=Onijegi">onijegi</a>, sirens can shift into a fully human appearance, and do so to lure unsuspecting men to them for reproduction and, usually, death.</p><p>Their primary weapon for drawing men to them is their unearthly song, which is so seductive to men that it will drive them to leap into the sea, attempting to reach the source of that beauty. Entire ships have been depopulated by these crooning creatures, who then rescue the lucky individuals they would mate with, while leaving their fellows to drown. Once the human males have served their purpose, they are usually drowned as well, if they have not been driven mad by the unending hypnotism of their new loves.|<b><a href="CreaturesTraits.php?Name=Alternate%20Form">Alternate Form</a>:</b> A siren may assume a fully human form as a standard action at will, or return to its natural form likewise. The human form it takes is always the same, and resembles the siren's natural form from the waist up, so the siren can be recognized in either form.</p><p><b>Paralyzing Beauty:</b> This ability operates continuously, affecting all humans who find women attractive within 60 feet of the siren. Those who gaze directly at the siren must succeed on a Difficulty 17 Fortitude save or be <a href="PlayingConditions.php?Name=Paralyzed">paralyzed</a> for three rounds. The siren can suppress or resume this ability as a free action. The save Difficulty is Charisma-based.</p><p><b>Song of Longing:</b> The song of a siren calls to something deep in the heart of everyone who hears it. Those attracted to women within 300 feet of a singing siren must make a Difficulty 19 Will save every two rounds or make every attempt (ignoring their own personal safety) to reach the siren. Those attracted to men must make a single Difficulty 19 Will save upon first hearing the siren's song or become incapacitated by helpless weeping (same effect as <a href="PlayingConditions.php?Name=Fascinated">fascinated</a>) until the song ends.</p><p><b>Psychic Blast:</b> A siren may use the supernatural <a href="Powers.php">power</a> <a href="Powers.php?Name=Psychic%20Blast">Psychic Blast</a> as though possessing power ranks equal to her level.</p><p><b>Skills:</b> A siren receives a +4 racial bonus to <a href="Skills.php?Name=Bluff">Bluff</a> and <a href="Skills.php?Name=Disguise">Disguise</a> checks. In addition, a siren receives a +8 racial bonus to <a href="Skills.php?Name=Swim">Swim</a> checks. A siren can always choose to take 10 on <a href="Skills.php?Name=Swim">Swim</a> checks, even if rushed or threatened. A siren can use the <a href="CombatActions.php?Name=Move%20All%20Out">move all out</a> action when swimming, but only when travelling in a straight line.|
Smilodon|10th|Animal||Large|40ft.|Str +7, Dex +2, Con +3, Int -4, Wis +1, Cha +0|Notice!+17!13 ranks, +1 Wis, +3 <a href="Feats.php?Name=Skill%20Focus">Skill Focus</a>;Stealth!+2*!0 ranks, +2 Dex, +4 bonus, -4 size|Attack Focus! (bite),;Double Strike!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>,;Improved Grab!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>,;Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>,;Run!,;Skill Focus! (<a href="Skills.php?Name=Notice">Notice</a>),;Tough| Attach, Blood Drain, <a href="CreaturesTraits.php?Name=Pounce">Pounce</a>, <a href="CreaturesTraits.php?Name=Rake">Rake</a>, <a href="CreaturesTraits.php?Name=Scent">Scent</a>|+8!(-1 size, +7 base, +2 Dex) (<b>+9</b> with bite and claws);+9!(bite) or <b>+10</b> (claws) or <b>+12</b> (rake);+8/--!(-1 size, +7 base, +2 Dex);+2|+8!+2 size, +3 Con, +2 natural, +1 <a href="Feats.php?Name=Tough">Tough</a>;+10!+7 base, +3 Con;+9!+7 base, +2 Dex;+4!+3 base, +1 Wis|A smilodon is large hunting feline with two oversized upper fangs that it uses to latch onto its prey and bleed it to death. These creatures hunt in packs of up to twenty individuals and will attack anything that ventures into their territory.</p><p>These creatures are about 8 feet long and weigh 500 pounds.|<b>Attach:</b> A smilodon that successfully <a href="CombatActions.php?Name=Grapple">grapples</a> its opponent with its bite attack latches on, driving its huge fangs into the opponent's body. An attached smilodon loses its Dexterity bonus to Defense and thus has a Defense of 16, but is very difficult to dislodge, so that any <a href="CombatActions.php?Name=Grapple">grapple</a> attempts or <a href="Skills.php?Name=Escape%20Artist">Escape Artist</a> checks made by the grappled opponent suffer a -4 penalty. An attached smilodon can be struck with a weapon or grappled itself.</p><p><b>Blood Drain:</b> An attached smilodon that inflicted damage with its bite attack drains blood for 1 point of Constitution damage each round it remains attached. If the bite attack hit but did no damage, the smilodon cannot drain the opponent's blood but remains attached until it is removed or decides to let go.</p><p><b> <a href="CreaturesTraits.php?Name=Pounce">Pounce</a>:</b> If a smilodon charges, it can attack a single target with both its claws and its bite in a single round.</p><p><b>Skills:</b> A smilodon has a +4 racial bonus on <a href="Skills.php?Name=Stealth">Stealth</a> checks.</p><p>*In areas of tall grass or heavy undergrowth, the <a href="Skills.php?Name=Stealth">Stealth</a> bonus improves to +8.|
Snake, Constrictor|3rd|Animal||Medium|20 ft., climb 20 ft.|Str +3, Dex +3, Con +1, Int -5, Wis +1, Cha -4|Climb!+14!3 ranks, +3 Dex, +8 bonus;Notice!+5!0 ranks, +1 Wis, +4 bonus;Stealth!+10!3 ranks, +3 Dex, +4 bonus;Swim!+11!0 ranks, +3 Dex, +8 bonus|Tough! (x2),;Improved Grab| <a href="CreaturesTraits.php?Name=Scent">Scent</a>, <a href="CreaturesTraits.php?Name=Constrict">Constrict</a>|+3!(+3 Dex);+3!(bite or constriction);+3/--!(+3 Dex);+3|+3!+1 Con, +2 <a href="Feats.php?Name=Tough">Tough</a>;+4!+3 base +1 Con;+6!+3 base, +3 Dex;+2!+1 base, +1 Wis|Constrictor snakes usually are not aggressive and flee when confronted. They hunt for food but do not attempt to make a meal out of any creature too large to constrict. Constrictor snakes hunt by grabbing prey with their mouths and then squeezing it with their powerful bodies.|<b>Skills:</b> Snakes have a +4 bonus on <a href="Skills.php?Name=Notice">Notice</a> and <a href="Skills.php?Name=Stealth">Stealth</a> checks. A snake can always choose to take 10 on <a href="Skills.php?Name=Climb">Climb</a> checks, even if rushed or threatened. A snake uses its Dexterity modifier instead of its Strength modifier for <a href="Skills.php?Name=Climb">Climb</a> and  <a href="Skills.php?Name=Swim">Swim</a> checks.|
Snake, Viper|1st|Animal||Tiny|15 ft., climb 15 ft., swim 15 ft.|Str -3, Dex +3, Con +0, Int -5, Wis +1, Cha -4|Climb!+11!0 ranks, +3 Dex, +8 bonus;Notice!+9!4 ranks, +1 Wis, +4 bonus;Stealth!+15!0 ranks, +3 Dex, +4 bonus, +8 size;Swim!+11!0 ranks, +3 Dex, +8 bonus|Attack Focus! (bite)| <a href="CreaturesTraits.php?Name=Poison">Poison</a>, <a href="CreaturesTraits.php?Name=Scent">Scent</a>|+6!(+1 Attack Focus, +3 Dex, +2 size);-5!(bite, plus poison);+5/--!(+3 Dex, +2 size);+3|-2!+0 Con, -2 size;+2!+2 base, +0 Con;+5!+2 base, +3 Dex;+1!+0 base, +1 Wis|Vipers are not particularly aggressive, but will often lash out with a bite attack before attempting to retreat. They rely on their venomous bite to kill prey and to defend themselves.|<b><a href="CreaturesTraits.php?Name=Poison">Poison</a>:</b> A viper's bite requires a Difficulty 10 Fortitude saving throw. The venom deals initial and secondary damage of 2 Constitution</p><p><b>Skills:</b> Snakes have a +4 bonus on <a href="Skills.php?Name=Notice">Notice</a> and <a href="Skills.php?Name=Stealth">Stealth</a> checks. A snake can always choose to take 10 on <a href="Skills.php?Name=Climb">Climb</a> checks, even if rushed or threatened. A snake uses its Dexterity modifier instead of its Strength modifier for <a href="Skills.php?Name=Climb">Climb</a> and  <a href="Skills.php?Name=Swim">Swim</a> checks. Vipers have a +8 bonus on  <a href="Skills.php?Name=Swim">Swim</a> checks and can always choose to take 10 on  <a href="Skills.php?Name=Swim">Swim</a> checks, even while threatened.|
Spinosaurus|20th|Animal||Gargantuan|20 ft.|Str +12, Dex +1, Con +7, Int -4, Wis +1, Cha +0|Notice!+29!23 ranks, +1 Wis, +2 bonus, +3 <a href="Feats.php?Name=Skill%20Focus">Skill Focus</a>|Attack Focus! (bite),;Improved Grab!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>,;Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>,;Skill Focus! (<a href="Skills.php?Name=Notice">Notice</a>),;Tough! (x5)| <a href="CreaturesTraits.php?Name=Scent">Scent</a>, Shake, <a href="CreaturesTraits.php?Name=Swallow%20Whole">Swallow Whole</a>|+12!(-4 size, +15 base, +1 Dex) (<b>+13</b> with bite);+18!(bite);+12/--!(-4 size, +15 base, +1 Dex);+1|+18!+4 size, +7 Con, +2 natural, +5 <a href="Feats.php?Name=Tough">Tough</a>;+18!+11 base, +7 Con;+12!+11 base, +1 Dex;+8!+6 base, +2 Wis|The spinosaurus is one of the most massive predators on land; more than 50 feet long and weighing over ten tons. The tall sail on its back only increases the terrifying impact of this creature. Fortunately, it is not as swift as some other large predators and is generally a scavenger rather than an active hunter.|<b>Shake:</b> If a spinosaurus successfully starts a <a href="CombatActions.php?Name=Grapple">grapple</a> with its bite attack, it deals automatic bite damage each round it maintains the hold as it shakes its prey violently in its jaws. The spinosaurus can deal this damage even if moving or pinning its opponent.</p><p><b> <a href="CreaturesTraits.php?Name=Swallow%20Whole">Swallow Whole</a>:</b> Creatures up to three sizes smaller; +18 bludgeoning damage and +7 acid damage per round; gizzard Toughness save +13; a spinosaurus' gizzard can hold 2 Medium, 8 Small, 32 Tiny, or 128 Diminutive or smaller opponents.</p><p><b>Skills:</b> A spinosaurus has a +2 racial bonus on <a href="Skills.php?Name=Notice">Notice</a> checks.|
Stegosaurus|11th|Animal||Huge|15 ft.|Str +8, Dex -1, Con +6, Int -5, Wis +0, Cha -2|Notice!+19!14 ranks, +0 Wis, +2 bonus, +3 <a href="Feats.php?Name=Skill%20Focus">Skill Focus</a>|Great Fortitude!,;Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>,;Skill Focus! (<a href="Skills.php?Name=Notice">Notice</a>),;Tough! (x2)| <a href="CreaturesTraits.php?Name=Scent">Scent</a>|+5!(-2 size, +8 base, -1 Dex);+13!(spikes);+5/--!(-2 size, +8 base, -1 Dex);-1|+15!+4 size, +6 Con, +3 natural,+2 <a href="Feats.php?Name=Tough">Tough</a>;+15!+7 base, +6 Con, +2 <a href="Feats.php?Name=Great%20Fortitude">Great Fortitude</a>;+6!+7 base, -1 Dex;+3!+3 base, +0 Wis|A tiny-headed herbivore with tall plates rising up along their spine, a stegosaurus has a body about 30 feet long and weighs about 15,000 pounds. They use the large spikes on their tail as a defensive weapon, flailing them at attacking predators or anything that looks threatening to their poor eyes. When faced with a threat, a stegosaurus will turn and flee, trusting its swinging tail spikes to defend it.|<b>Skills:</b> A stegosaurus has a +2 racial bonus on <a href="Skills.php?Name=Notice">Notice</a> checks.|
Swarm, Killer Bee|7th|Vermin|Swarm|Diminutive|5 ft., fly 40 ft. (good)|Str -5, Dex +4, Con +0, Int --, Wis +1, Cha -1|Notice!+5!0 ranks, +1 Wis, +4 bonus);Survival!+1!0 ranks, +1 Wis|!--| <a href="CreaturesTraits.php?Name=Darkvision">Darkvision</a> (60 ft.), Distraction, Immune to Weapon Damage, <a href="CreaturesTraits.php?Name=Poison">Poison</a>|<a href="CreaturesSubTypes.php?Name=Swarm">Swarm!;+4!(sting, plus poison);+13/--!(+5 base, +4 Dex, +4 size);+4|-4!0 Con, -4 size;+5!+5 base;+6!+2 base, +4 Dex;+3!+2 base, +1 Wis|Killer bees are named for their extremely aggressive nature, and their habit of swarming anything they feel is threatening their hive. Killer bees have a strong aversion to the color black, and will attack anything of that color that approaches within 30 ft. of their hive.|<b>Distraction:</b> Any living creature that begins its turn within a killer bee swarm must succeed on a Difficulty 13 Fortitude save or be nauseated for 1 round. The save Difficulty is Constitution-based.</p><p><b> <a href="CreaturesTraits.php?Name=Poison">Poison</a>:</b> Injury, Fortitude Difficulty 13, initial and secondary damage 1 Con. The save Difficulty is Constitution-based</p><p><b>Skills:</b> Killer bees have a +4 racial bonus on <a href="Skills.php?Name=Notice">Notice</a> checks. They also have a +4 racial bonus on <a href="Skills.php?Name=Survival">Survival</a> checks to orient themselves.</p>|
Swarm, Razorbats|7th|Animal|Swarm|Tiny|fly 30ft. (good)|Str -2, Dex +3, Con +0, Int -4, Wis +0, Cha +0|Notice!+8!0 ranks, +0 Wis, +8 bonus;Stealth!+11!0 ranks, +3 Dex, +8 bonus|Ability Focus! (distraction),;Skill Focus! (<a href="Skills.php?Name=Notice">Notice</a>),;Skill Focus! (<a href="Skills.php?Name=Stealth">Stealth</a>)|<a href="CreaturesTraits.php?Name=Blindsight">Blindsight</a>, Distraction, Repeated Attacks, Sonic Scream|<a href="CreaturesSubTypes.php?Name=Swarm">Swarm!;+6;20/--!(+5 base, +3 Dex, +2 size);+3|-4!+0 Con, -4 size;+5!+5 base, +0 Con;+8!+5 base, +3 Dex;+2!+2 base, +0 Wis|Razorbats are voracious predators that descend on their prey in huge swarms, hit it with a sonic scream to stun it, and then descend for the kill.|<b>Distraction:</b> Any living creature that begins its turn with a razorbat swarm in its square must make a Difficulty 15 Fortitude save or be <a href="PlayingConditions.php?Name=Nauseated">nauseated</a> for one round.</p><p><b>Sonic Scream:</b> A swarm of razorbats acting in concert can focus the tiny shrieks they use for echolocation into a cone of deadly vibration.</p><p>A razorbat swarm can emit a sonic scream once every three rounds as a standard action. The scream extends in a 30-foot cone. Creatures within the cone take +6 sonic damage and must make a Difficulty 13 Fortitude save or be <a href="PlayingConditions.php?Name=Stunned">stunned</a> for one round and <a href="PlayingConditions.php?Name=Deafened">deafened</a> for one hour. The save Difficulty is Constitution-based.</p><p>In addition, all non-supernatural objects of glass, crystal, ceramic or porcelain in the cone weighing less than 1 pound shatter.</p><p><b>Repeated Attacks:</b> Razorbats have claws on their wings and barbs on their tails, making them dangerous opponents. A razorbat swarm deals +2 additional damage than a normal swarm of its level.</p><p><b>Skills:</b> Razorbat swarms have a +8 racial bonus on <a href="Skills.php?Name=Notice">Notice</a> and <a href="Skills.php?Name=Stealth">Stealth</a> checks.|
Tuyewara|17|Construct||Medium|20 ft. (can't run)|Str +6, Dex +1, Con --, Int -4, Wis +3, Cha -4|Climb!+10!0 ranks, +6 Str, +4 bonus;Stealth!+5!0 ranks, +1 Dex, +4 bonus;Swim!+10!0 ranks, +6 Str, +4 bonus|Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>,;Sneak Attack!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span> (x3)|Death Attack, <a href="CreaturesTraits.php?Name=Damage%20Reduction">Damage Reduction</a> +4/supernatural, Invisible at Night, <a href="CreaturesTraits.php?Name=Resistance%20to%20Energy">Resistance to Energy</a> +8 (acid, cold, electricity, fire and sonic), <a href="CreaturesTraits.php?Name=Supernatural%20Resistance">Supernatural Resistance</a> 20|+13!(+12 base, +1 Dex);+6!(+6 Str) or (<b>+10</b> sneak attack);23/--!(+12 base, +1 Dex);+1|+7!+1 base, +6 natural armor;+5!+5 base, +0 Con;+6!+5 base, +1 Dex;+8!+5 base, +3 Wis|The tuyewara is a gruesome construct made of corpses that is designed to be sent to assassinate the creator's enemies. It is a stitched-together mockery of the human form with no legs below the knees, and no tongue. The lack of legs prevents it from running away, and the lack of a tongue makes it unable to complain about its treatment. If forced into open combat, a tuyewara never retreats -- some say they seek their own destruction as a way of ending their tormented existence.|<b>Death Attack:</b> If the tuyewara studies its victim for 3 rounds and then makes a <a href="CombatModifiers.php?Name=Surprise%20Attack">surprise attack</a> that successfully deals at least a <a href="PlayingConditions.php?Name=Hurt">hurt</a> result, the surprise attack may slay the target outright.</p><p>While studying the victim, the tuyewara can undertake other actions so long as its attention stays focused on the target and the target does not detect the tuyewara or recognize the tuyewara as an enemy. If the victim fails a Difficulty 18 Fortitude save against the death attack, she dies. If the victim's saving throw is successful, she takes damage as a normal surprise attack.</p><p>Once the tuyewara has competed the three rounds of study, it must make the death attack within the next three rounds. If a death attack is attempted and fails (the victim makes her saving throw) or if the tuyewara does not launch the attack within three rounds of completing its study, three new rounds of study are required before it can attempt another death attack.</p><p><b>Invisible at Night:</b> From dusk until dawn, the tuyewara is rendered invisible. A successful use of the <a href="Powers.php?Name=Severance">Severance</a> power will remove the invisibility for a single round.</p><p><b>Skills:</b> Tuyewara have a +4 racial bonus on <a href="Skills.php?Name=Climb">Climb</a>, <a href="Skills.php?Name=Stealth">Stealth</a> and <a href="Skills.php?Name=Swim">Swim</a> checks.|
Therizinosaurus|13th|Animal||Huge|20 ft.|Str +10, Dex -1, Con +8, Int -5, Wis +1, Cha -2|Notice!+25!17 ranks, +1 Wis, +4 bonus, +3 <a href="Feats.php?Name=Skill%20Focus">Skill Focus</a>|Great Fortitude!,;Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>,;Skill Focus! (<a href="Skills.php?Name=Notice">Notice</a>),;Tough! (x3)| <a href="CreaturesTraits.php?Name=Scent">Scent</a>|+6!(-2 size, +9 base, -1 Dex);+18!(claws);+6/--!(-2 size, +9 base, -1 Dex);-1|+18!+4 size, +8 Con, +3 natural, +3 <a href="Feats.php?Name=Tough">Tough</a>;+18!+8 base, +8 Con, +2 <a href="Feats.php?Name=Great%20Fortitude">Great Fortitude</a>;+7!+8 base, -1 Dex;+5!+4 base, +1 Wis|A bipedal herbivore that stands twenty feet tall and weighs 20,000 pounds, a therizinosaurus is well-armed with massive claws on its forelimbs that it uses to strip branches and tree trunks. One swipe from those claws can readily disembowel an attacking predator, and as such therizinosauruses are confident and move to attack any creature that disturbs them at eating.|<b>Skills:</b> A therizinosaurus has a +4 racial bonus on <a href="Skills.php?Name=Notice">Notice</a> checks.</p>|
Triceratops|16th|Animal||Huge|30 ft.|Str +10, Dex -1, Con +7, Int -5, Wis +1, Cha -2|Notice!+23!19 ranks, +1 Wis, +3 <a href="Feats.php?Name=Skill%20Focus">Skill Focus</a>|Great Fortitude!,;Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>,;Skill Focus! (<a href="Skills.php?Name=Notice">Notice</a>),;Tough! (x4)| <a href="CreaturesTraits.php?Name=Powerful%20Charge">Powerful Charge</a>, <a href="CreaturesTraits.php?Name=Scent">Scent</a>, <a href="CreaturesTraits.php?Name=Trample">Trample</a>|+9!(-2 size, +12 base, -1 Dex);+16!(gore);+9/--!(-2 size, +12 base, -1 Dex);-1|+20!+4 size, +7 Con, +5 natural, +4 <a href="Feats.php?Name=Tough">Tough</a>;+17!+10 base, +7 Con;+9!+10 base, -1 Dex;+6!+5 base, +1 Wis|An elephant-size herbivore with long sharp horns protruding over its eyes and nose, a triceratops has a body about 25 feet long and weighs about 25,000 pounds.</p><p>These creatures are likely to charge and skewer any creature of at least Large size that infringes on their territory. A triceratops uses its trample attack on smaller opponents.|<b> <a href="CreaturesTraits.php?Name=Powerful%20Charge">Powerful Charge</a>:</b> When a triceratops charges, its gore attack deals +21 damage.</p><p><b> <a href="CreaturesTraits.php?Name=Trample">Trample</a>:</b> Damage +25, Difficulty 28 Reflex Save for half damage. The save Difficulty is Strength-based.</p>|
Tyrannosaurus|18th|Animal||Huge|40 ft.|Str +9, Dex +1, Con +5, Int -4, Wis +2, Cha +0|Notice!+28!21 ranks, +2 Wis, +2 bonus, +3 <a href="Feats.php?Name=Skill%20Focus">Skill Focus</a>|Attack Focus! (bite),;Improved Grab!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>,;Night Vision!<span class="superscript"><a href="Creatures.php#BonusFeats">B</a></span>,;Run!,;Skill Focus! (<a href="Skills.php?Name=Notice">Notice</a>),;Tough! (x3,);Track| <a href="CreaturesTraits.php?Name=Scent">Scent</a>, <a href="CreaturesTraits.php?Name=Swallow%20Whole">Swallow Whole</a>|+12!(-2 size, +13 base, +1 Dex) (<b>+13</b> with bite;+15!(bite);+12/--!(-2 size, +13 base, +1 Dex);+1|+14!+4 size, +5 Con, +2 natural, +3 <a href="Feats.php?Name=Tough">Tough</a>;+16!+11 base, +5 Con;+12!+11 base, +1 Dex;+8!+6 base, +2 Wis|The most terrifying carnivore on land, the tyrannosaur is a massive bipedal beast with savage jaws that can swallow unfortunate people whole. Despite its enormous size and 6-ton weight, a tyrannosaurus is a swift runner. Its head is nearly 6 feet long, and its teeth are from 3 to 6 inches in length. It is slight more than 30 feet long from nose to tail.</p><p>A tyrannosaurus pursues and eats just about anything it sees. Its tactics are simple -- charge in and bite.|<b> <a href="CreaturesTraits.php?Name=Swallow%20Whole">Swallow Whole</a>:</b> Creatures up to two sizes smaller; +13 bludgeoning damage and +5 acid damage per round; gizzard Toughness save +9; a tyrannosaurus' gizzard can hold 2 Medium, 8 Small, 32 Tiny, or 128 Diminutive or smaller opponents.</p><p><b>Skills:</b> A tyrannosaurus has a +2 racial bonus on <a href="Skills.php?Name=Notice">Notice</a> checks.</p><p>These creatures can grow even bigger than described here; at 20th level a tyrannosaurus becomes Gargantuan in size (with all the adjustments implied by the size change).|
